label,samples,avg_naturalness,gate_pass_rate,fallback_rate,avg_region_foreground_ratio,mode_counts
baseline_no_seg,160,0.36760905,0.89375,0.23125,0.0,"{""brightness"": 51, ""fallback_visible_contrast"": 8, ""flip"": 37, ""shift"": 28, ""fallback_visible_tint"": 29, ""contrast"": 6, ""color"": 1}"
segmentation_enabled,160,0.36760905,0.89375,0.23125,0.0,"{""brightness"": 51, ""fallback_visible_contrast"": 8, ""flip"": 37, ""shift"": 28, ""fallback_visible_tint"": 29, ""contrast"": 6, ""color"": 1}"
